"sample","shannon","simpson","invsimpson","temperature","infection","time"
"SRR11440716",1.63770960724628,0.756119821388071,4.10037423168874,"28","Zika","24"
"SRR11440717",1.53318305750508,0.732409752494916,3.73705697170821,"28","Zika","24"
"SRR11440718",1.45537218926149,0.669819909748349,3.02865021097376,"28","Zika","24"
"SRR11440719",1.00414992593493,0.512190184435802,2.04997925030149,"28","Zika","48"
"SRR11440720",1.0889798254328,0.500502346987912,2.00201140880195,"28","Zika","48"
"SRR11440721",1.13077844242421,0.526226615327286,2.11071375546097,"28","Zika","48"
"SRR11440722",1.08468711812601,0.543810191592819,2.19207001465371,"28","Zika","48"
"SRR11440723",1.61672862721141,0.745190987250568,3.92450796465098,"28","Zika","48"
"SRR11440724",1.79804109073367,0.783993337888918,4.62948684187226,"28","Zika","48"
"SRR11440725",1.31684192708532,0.620244960839278,2.63327644633775,"36","Zika","48"
"SRR11440726",1.80786093948642,0.772352647193066,4.39275918507207,"28","Zika","48"
"SRR11440727",1.78700588040324,0.783434346717832,4.61753738344223,"28","Zika","48"
"SRR11440728",1.37663983968577,0.68556569763322,3.18031459186512,"28","Zika","48"
"SRR11440729",1.24102317126376,0.573609442008966,2.34526769239817,"28","Control","24"
"SRR11440730",1.1209352853365,0.477255600495656,1.91298080084298,"28","Control","24"
"SRR11440731",0.952937248973182,0.442592119605425,1.79401841124335,"36","Zika","48"
"SRR11440732",1.45058103675555,0.622512451419768,2.64909399995073,"28","Control","24"
"SRR11440733",1.47917105043099,0.605899875018648,2.53742624427566,"28","Control","24"
"SRR11440734",0.881814091104352,0.446415027030166,1.80640741499046,"28","Control","48"
"SRR11440735",1.01652484021163,0.502953014363155,2.01188223426955,"28","Control","48"
"SRR11440736",1.03763614091714,0.53102864344614,2.13232639056742,"28","Control","48"
"SRR11440737",0.92530741199742,0.501989222588756,2.00798867285201,"28","Control","48"
"SRR11440738",1.43985180044959,0.66182171239898,2.95702011827498,"28","Control","48"
"SRR11440739",1.35955208914434,0.646766299567515,2.83098696068818,"28","Control","48"
"SRR11440740",1.39242881300222,0.648149617617386,2.84211713293683,"28","Control","48"
"SRR11440741",1.44546764780654,0.660055223494196,2.94165426007929,"28","Control","48"
"SRR11440742",0.826298101005701,0.373114950506407,1.59518878430394,"36","Zika","48"
"SRR11440743",1.57094275501076,0.698147120564877,3.31287215769273,"36","Zika","48"
"SRR11440744",1.54102674680121,0.673218706949039,3.06015069180857,"36","Zika","48"
